Fecha,Prediccion_NN
2014-09-21,902.4821
2014-09-22,909.3043
2014-09-23,916.12646
2014-09-24,922.94867
2014-09-25,929.7708
2014-09-26,936.59296
2014-09-27,943.4152
2014-09-28,950.2374
2014-09-29,957.0597
2014-09-30,963.8818
2014-10-01,770.75555
2014-10-02,777.56824
2014-10-03,784.38086
2014-10-04,791.19366
2014-10-05,798.00726
2014-10-06,804.8223
2014-10-07,811.6463
2014-10-08,818.47076
2014-10-09,825.2952
2014-10-10,832.1195
2014-10-11,838.9439
2014-10-12,845.7685
2014-10-13,852.5927
2014-10-14,859.417
2014-10-15,866.24133
2014-10-16,873.06586
2014-10-17,879.89044
2014-10-18,886.71497
2014-10-19,893.53925
2014-10-20,900.36224
2014-10-21,907.1846
2014-10-22,914.0067
2014-10-23,920.8289
2014-10-24,927.65106
2014-10-25,934.4733
2014-10-26,941.29553
2014-10-27,948.11774
2014-10-28,954.9399
2014-10-29,961.76215
2014-10-30,968.5842
2014-10-31,975.4063
2014-11-01,775.4517
2014-11-02,782.26434
2014-11-03,789.077
2014-11-04,795.8903
2014-11-05,802.70416
2014-11-06,809.5259
2014-11-07,816.3503
2014-11-08,823.1746
2014-11-09,829.9992
2014-11-10,836.82355
2014-11-11,843.648
2014-11-12,850.4723
2014-11-13,857.2965
2014-11-14,864.1207
2014-11-15,870.94525
2014-11-16,877.76984
2014-11-17,884.59436
2014-11-18,891.4187
2014-11-19,898.2425
2014-11-20,905.06476
2014-11-21,911.887
2014-11-22,918.7092
2014-11-23,925.53143
2014-11-24,932.3536
2014-11-25,939.17584
2014-11-26,945.99805
2014-11-27,952.8202
2014-11-28,959.64233
2014-11-29,966.46454
2014-11-30,973.2867
2014-12-01,780.1479
2014-12-02,786.96063
2014-12-03,793.7736
2014-12-04,800.58734
2014-12-05,807.40576
2014-12-06,814.2298
2014-12-07,821.05426
2014-12-08,827.8787
2014-12-09,834.7032
2014-12-10,841.5275
2014-12-11,848.35175
2014-12-12,855.17596
2014-12-13,862.0002
2014-12-14,868.8246
2014-12-15,875.64923
2014-12-16,882.47375
2014-12-17,889.2982
2014-12-18,896.12225
2014-12-19,902.945
2014-12-20,909.7673
2014-12-21,916.5895
2014-12-22,923.41174
